pitcher,pitcher_name,p_throws,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle,arm_angle_type
676961,Caleb Boushley,R,75.0,52.5,-16.169032258064515,72.3367741935484,39.396910705792095,High Three-Quarters
676962,Ben Brown,R,78.0,54.599999999999994,-18.59279151943463,76.4443816254417,40.32904287462668,High Three-Quarters
676969,Brett de Geus,R,74.0,51.8,-13.497857142857143,72.61285714285715,32.99768019337132,High Three-Quarters
676974,Max Meyer,R,72.0,50.4,-13.28300395256917,69.80442687747036,34.31524614044966,High Three-Quarters
676979,Garrett Crochet,L,78.0,54.599999999999994,28.110876623376623,73.50155844155844,56.04738546265242,High Three-Quarters
677020,Josh Walker,L,78.0,54.599999999999994,32.4033488372093,73.95906976744186,59.04259403904332,High Three-Quarters
677053,Andrew Nardi,L,75.0,52.5,34.31079006772009,71.06817155756208,61.554793210156426,Low Three-Quarters
677076,Clayton Andrews,L,66.0,46.199999999999996,33.472,64.88,60.81354670251871,Low Three-Quarters
677161,Zack Kelly,R,75.0,52.5,-38.916311239193085,64.91827089337175,72.24681599538093,Low Three-Quarters
677865,Justin Bruihl,L,74.0,51.8,36.79714285714285,65.04857142857142,69.96121711131158,Low Three-Quarters
677944,Slade Cecconi,R,76.0,53.19999999999999,-24.90759493670886,66.9636075949367,60.9824810747661,Low Three-Quarters
677960,Ryan Weathers,L,73.0,51.099999999999994,34.561241379310346,68.23231034482758,63.574503443196654,Low Three-Quarters
678061,Ray Kerr,L,75.0,52.5,18.590232558139533,68.33546511627907,49.535619398015506,High Three-Quarters
678226,Daysbel Hernández,R,70.0,49.0,-14.58,69.70384615384616,35.14927529651564,High Three-Quarters
678394,Brayan Bello,R,73.0,51.099999999999994,-21.57182089552239,61.99164179104478,63.0263951357543,Low Three-Quarters
678495,Randy Rodríguez,R,72.0,50.39999999999999,-19.589560117302053,64.92281524926686,53.28990044202332,High Three-Quarters
678692,Ronny Henriquez,R,70.0,49.0,-28.225531914893615,65.60425531914893,59.26205315724037,High Three-Quarters
678906,Kai-Wei Teng,R,76.0,53.199999999999996,-27.269411764705882,65.87764705882353,65.03008017899678,Low Three-Quarters
679525,Alec Marsh,R,74.0,51.8,-24.841261829652996,68.32858044164038,56.28237064596149,High Three-Quarters
679845,Nick Loftin,R,72.0,50.4,-14.955,74.82000000000001,31.81753303774214,High Three-Quarters
679885,Justin Martinez,R,75.0,52.5,-34.14121827411167,73.33918781725887,58.45181183261941,High Three-Quarters
680570,Grayson Rodriguez,R,77.0,53.9,-27.429322709163348,67.42709163346613,63.71047433085474,Low Three-Quarters
680573,Simeon Woods Richardson,R,75.0,52.5,-15.566024096385542,76.89918072289157,32.50942108522086,High Three-Quarters
680686,Josiah Gray,R,73.0,51.099999999999994,-22.662272727272725,61.247727272727275,65.63582127025512,Low Three-Quarters
680694,Kyle Bradish,R,75.0,52.5,-12.5494,76.2778,27.74586755339713,Overhand
680704,Nick Sandlin,R,71.0,49.7,-38.66314285714286,53.76142857142857,83.96442963539906,Low Three-Quarters
680730,Mitchell Parker,L,76.0,53.199999999999996,23.434387633769322,72.7448275862069,50.00666702212232,High Three-Quarters
680742,Jonathan Bowlan,R,78.0,54.599999999999994,-32.468823529411765,72.4235294117647,61.21136609173212,Low Three-Quarters
680767,Victor Vodnik,R,72.0,50.4,-25.30779661016949,63.2268721109399,62.61912796765599,Low Three-Quarters
680885,Spencer Schwellenbach,R,73.0,51.099999999999994,-35.529017341040465,63.72832369942196,70.44480190384087,Low Three-Quarters
680897,Nick Nastrini,R,75.0,52.5,-25.11578093306288,71.0986612576065,53.44060133548756,High Three-Quarters
680911,Owen Miller,R,71.0,49.699999999999996,-25.345945945945946,80.80216216216216,39.03407560652301,High Three-Quarters
681035,Christian Scott,R,76.0,53.199999999999996,-33.429515418502206,62.686255506607935,74.13763418887277,Low Three-Quarters
681190,Randy Vásquez,R,72.0,50.4,-30.160467445742903,71.58711185308849,54.36109716887601,High Three-Quarters
681217,Chase Silseth,R,72.0,50.4,-18.865868263473054,70.7525748502994,42.78777123165512,High Three-Quarters
681293,Spencer Arrighetti,R,74.0,51.8,-14.751762013729977,61.12146453089245,57.32615899466091,High Three-Quarters
681402,Gus Varland,R,73.0,51.099999999999994,-17.118387096774192,63.16548387096775,54.67756030137775,High Three-Quarters
681432,Luke Little,L,80.0,56.0,35.6952,65.53,75.01030182691206,Low Three-Quarters
681517,Kyle Leahy,R,77.0,53.9,-16.488581314878893,69.58837370242215,46.3527985110468,High Three-Quarters
681676,Ryan Fernandez,R,72.0,50.4,-27.716889848812094,68.4961555075594,56.71795017166929,High Three-Quarters
681857,Reese Olson,R,73.0,51.099999999999994,-31.332960893854747,72.42949720670391,55.74381097040508,High Three-Quarters
681867,Cooper Criswell,R,78.0,54.599999999999994,-20.088329519450802,60.06906178489702,74.7139181879348,Low Three-Quarters
681869,Shawn Dubin,R,72.0,50.4,-23.113984962406015,69.63248120300753,50.121510457344954,High Three-Quarters
681871,Eli Villalobos,R,76.0,53.199999999999996,-27.016901408450703,73.35887323943662,53.04832721906613,High Three-Quarters
681882,Colin Selby,R,74.0,51.8,-12.859591836734694,68.10367346938776,38.151252345164735,High Three-Quarters
681892,Kody Funderburk,L,76.0,53.199999999999996,28.892185430463577,71.22357615894039,57.955350302173414,High Three-Quarters
681911,Alex Vesia,L,73.0,51.099999999999994,7.414266958424508,70.63142231947484,20.768403750703424,Overhand
681982,Grant Anderson,R,72.0,50.4,-28.871129032258064,50.7358064516129,89.19919379377178,Low Three-Quarters
682052,Jacob Lopez,L,76.0,53.199999999999996,42.75962264150944,63.151698113207544,76.86253831894138,Low Three-Quarters
682120,Tim Herrin,L,78.0,54.599999999999994,28.020289855072463,69.07507246376812,62.76360283035528,Low Three-Quarters
682175,Joe Jacques,L,76.0,53.199999999999996,41.35272727272727,53.60363636363637,89.40907367714622,Low Three-Quarters
682243,Bryce Miller,R,74.0,51.8,-17.083979057591623,66.32837696335079,49.518434271885084,High Three-Quarters
682610,Roddery Muñoz,R,74.0,51.8,-15.63076923076923,67.49435897435897,44.866781707029624,High Three-Quarters
682842,Abner Uribe,R,75.0,52.5,-12.87813953488372,71.42651162790698,34.08369849137522,High Three-Quarters
682847,Luis L. Ortiz,R,74.0,51.8,-21.171689189189188,60.66891891891892,67.18345988366376,Low Three-Quarters
682990,Quinn Priester,R,75.0,52.5,-13.261266794625719,71.76529750479847,34.537167889255116,High Three-Quarters
683003,Jared Jones,R,73.0,51.099999999999994,-17.489277430865297,66.37873327386262,48.73094291274681,High Three-Quarters
683004,Jack Leiter,R,73.0,51.1,-24.230239234449762,67.37971291866029,56.07961261667091,High Three-Quarters
683155,Joey Estes,R,74.0,51.8,-22.08588235294118,70.62235294117647,49.51940171829826,High Three-Quarters
683232,Nick Mears,R,74.0,51.8,-16.16196319018405,73.50257668711657,36.586973648949865,High Three-Quarters
683409,Angel Chivilli,R,74.0,51.79999999999999,-9.667924528301887,72.58415094339622,24.863717912486376,Overhand
683627,Anthony Molina,R,73.0,51.099999999999994,-18.583941605839417,75.17956204379561,37.2490506694906,High Three-Quarters
683769,Hunter Gaddis,R,78.0,54.599999999999994,-32.1577358490566,74.3122641509434,58.47475838280727,High Three-Quarters
683822,Naoyuki Uwasawa,R,73.0,51.099999999999994,-24.42967741935484,75.09096774193549,45.49952231217234,High Three-Quarters
684007,Shota Imanaga,L,70.0,49.0,30.228046875,65.0762109375,61.93321970222147,Low Three-Quarters
684320,Yariel Rodríguez,R,72.0,50.4,-20.530331125827814,70.22900662251655,45.838982200062084,High Three-Quarters
685107,Anthony Veneziano,L,77.0,53.9,26.138666666666666,71.888,55.46478048022803,High Three-Quarters
685314,Andrew Saalfrank,L,75.0,52.5,16.093846153846155,74.94923076923077,35.604949447943255,High Three-Quarters
686539,Declan Cronin,R,76.0,53.199999999999996,-22.641108742004263,61.99778251599147,68.67850788358227,Low Three-Quarters
686563,Jonathan Cannon,R,78.0,54.599999999999994,-31.481392405063293,68.29594936708861,66.41294920422092,Low Three-Quarters
686580,Justin Slaten,R,76.0,53.199999999999996,-9.995507559395248,73.26609071274298,26.458322300641285,Overhand
