pitcher,pitcher_name,p_throws,pitch_type,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle
663531,Logan Allen,L,FC,75.0,52.5,18.931153846153844,72.855,42.89947459065732
663531,Logan Allen,L,FF,75.0,52.5,15.60943820224719,74.74921348314606,35.01292827682666
663531,Logan Allen,L,FS,75.0,52.5,18.476288659793816,72.05567010309278,43.32864570027983
663531,Logan Allen,L,SI,75.0,52.5,19.569473684210525,72.53684210526316,44.30120386559355
663531,Logan Allen,L,ST,75.0,52.5,22.007272727272724,71.86424242424243,48.609653095056025
663542,Bryan Hudson,L,FC,80.0,56.0,41.22872727272727,58.967999999999996,85.87690549077533
663542,Bryan Hudson,L,FF,80.0,56.0,38.99197026022305,61.674200743494424,81.71004106729542
663542,Bryan Hudson,L,ST,80.0,56.0,42.08571428571429,57.74367346938775,87.63786918144265
663546,Sean Hjelle,R,FC,83.0,58.099999999999994,-17.122857142857143,77.19714285714286,41.8643306715163
663546,Sean Hjelle,R,KC,83.0,58.099999999999994,-17.955454545454543,77.0090909090909,43.49345067312692
663546,Sean Hjelle,R,SI,83.0,58.1,-16.284401913875598,77.18411483253588,40.41609197156388
663554,Casey Mize,R,FF,75.0,52.5,-20.139056603773582,69.00339622641509,50.571782249636534
663554,Casey Mize,R,FS,75.0,52.5,-21.72705882352941,67.16598930481284,55.915307650406355
663554,Casey Mize,R,KC,75.0,52.5,-23.375714285714285,67.39142857142858,57.409410421424596
663554,Casey Mize,R,SI,75.0,52.5,-18.5112,67.896,50.228197288199006
663554,Casey Mize,R,SL,75.0,52.5,-24.03957894736842,65.96926315789474,60.650343052020695
663559,Bailey Falter,L,CU,76.0,53.2,15.464250000000002,68.8365,44.59153819181002
663559,Bailey Falter,L,FF,76.0,53.199999999999996,13.640414937759337,68.77468879668051,41.11537624946889
663559,Bailey Falter,L,FS,76.0,53.199999999999996,15.193846153846154,67.95692307692308,45.77445173447314
663559,Bailey Falter,L,SI,76.0,53.199999999999996,13.729208633093526,68.81525179856115,41.18147163203694
663559,Bailey Falter,L,SL,76.0,53.199999999999996,14.99916083916084,68.55692307692307,44.204287080906006
663562,Noah Davis,R,CH,74.0,51.79999999999999,-25.0,67.60000000000001,57.6959512922231
663562,Noah Davis,R,CU,74.0,51.8,-25.560000000000002,67.85999999999999,57.84558072029176
663562,Noah Davis,R,FC,74.0,51.8,-25.67142857142857,69.29142857142857,55.71130415447984
663562,Noah Davis,R,SI,74.0,51.8,-25.55454545454546,69.3,55.590015037847046
663562,Noah Davis,R,SL,74.0,51.8,-24.959999999999997,67.8,57.32537357435592
663567,Peter Lambert,R,CH,74.0,51.8,-20.562137404580152,72.01099236641221,45.42322539608342
663567,Peter Lambert,R,CU,74.0,51.8,-17.47714285714286,73.96285714285715,38.088363103569705
