id,fullName
32341,Angel Sanchez
32345,Adrian Sanchez
32351,Juniel Querecuto
32353,Rocky Gale
32355,Nick Ahmed
32362,Jackie Bradley Jr.
32366,Edgar Corcino
32367,Eugenio Suarez
32377,Hector Neris
32384,Nick Buss
32396,Kevin Quackenbush
32397,Aaron Loup
32409,Michael Mariot
32422,Whit Merrifield
32433,Noel Cuevas
32437,Francisco Arcia
32440,Caleb Thielbar
32443,R.J. Alaniz
32450,Jin-De Jhang
32470,Jose Peraza
32485,Socrates Brito
32511,Chris Devenski
32512,Ketel Marte
32514,Daniel Lockhart
32515,Gioskar Amaya
32516,Michael Perez
32517,Josh Bell
32518,Archie Bradley
32519,Trey Martin
32521,Harold Castro
32524,Niko Goodrum
32525,Jorge Polanco
32530,Orlando Arcia
32531,Jeimer Candelario
32532,Willson Contreras
32545,Jose Briceno
32549,Matt Andriese
32558,Jorge Soler
32560,Alen Hanson
32562,Felipe Vazquez
32563,Dan Straily
32566,Will Harris
32567,Jose Fernandez
32569,Collin McHugh
32574,Yasiel Puig
32580,Zach Clark
32582,Hyun Jin Ryu
32589,Hunter Strickland
32594,Michael Tonkin
32601,David Hale
32602,Aaron Northcraft
32606,Nik Turley
32618,Kevan Smith
32620,Alex Wood
32623,Kirby Yates
32625,Brandon Mann
32629,Cory Mazzoni
32631,Rafael Montero
32632,Matt Skole
32633,Eric Stamets
32636,Adam Morgan
32640,Michael Wacha
32641,Tyler Lyons
32646,Nick Goody
32647,Raffy Lopez
32649,Dayan Diaz
32653,Carlos Correa
32655,Byron Buxton
32657,Mike Zunino
32659,Edwin Escobar
32660,Deven Marrero
32664,Adam Duvall
32665,Josh Osich
32666,Hansel Robles
32667,Kevin Gausman
32669,Adam Conley
32670,Grant Dayton
32672,Andrew Heaney
32675,Eduardo Rodriguez
32676,Beau Taylor
32680,T.J. McFarland
32684,Joe Ross
32685,Max Fried
32686,Albert Almora Jr.
32689,Kyle Zimmer
32690,Chase Anderson
32691,Corey Seager
32692,Dorssys Paulino
32693,Roberto Osuna
32695,Greg Bird
32697,Lucas Giolito
32698,David Dahl
32704,Shane Greene
32709,Sean Nolin
32710,John Stilson
32714,Sherman Johnson
32715,Taylor Motter
32721,Gio Urshela
32722,Christian Lopes
32730,R.J. Alvarez
32736,Jackson Stephens
32738,Jimmy Nelson
32742,Jake Lamb
32743,Bradin Hagens
32746,Nolan Fontana
32751,Travis Jankowski
32752,Adrian Marin
32753,Ty Kelly
32754,Andrew Albers
32757,Branden Kline
32758,Christian Walker
32759,Jose Rondon
32760,Josh Hader
32762,Ken Giles
32763,Kieran Lovegrove
32764,Lance McCullers Jr.
32765,Mac Williamson
32767,Matt Olson
32768,Miguel Almonte
32769,Mike Clevinger
32770,Mitch Brown
32771,Mitch Haniger
32775,Orlando Calixte
32776,Paul Blackburn
32777,Pierce Johnson
32778,Renato Nunez
32779,Roman Quinn
32782,Tyler Pike
32783,Tyrone Taylor
32784,Victor Sanchez
32785,Wyatt Mathisen
32786,Zack Bird
32787,Chris Stratton
32788,Tyler Naquin
32789,Ross Stripling
32793,Zach Vincej
32796,Jacob deGrom
32797,Carson Kelly
32798,Gavin Cecchini
32800,Seth Mejias-Brean
32801,Jose Ramirez
32802,Matt Wisler
32803,Walker Weickel
32804,Zach Eflin
32807,Lucas Sims
32808,Luis Merejo
32810,Andrew Chafin
32811,Jose Berrios
32812,Anthony Alford
32813,Chase De Jong
32814,D.J. Davis
32815,Marcus Stroman
32818,Joey Gallo
32819,Lewis Brinson
32820,Nomar Mazara
32821,Adalberto Mondesi
32823,Arismendy Alcantara
32827,Clay Holmes
32828,Clint Coulter
32830,Duane Underwood Jr.
32833,Jesse Winker
32836,Beau Amaral
32838,Richie Shaffer
32839,Hanser Alberto
32842,Stephen Piscotty
32846,James Ramsey
32847,John Andreoli
32850,Elliot Soto
32851,Daniel Vogelbach
32856,Austin Barnes
32857,Danny Ortiz
32859,Kevin Pillar
32861,Patrick Wisdom
32866,Charlie Tilson
32868,Odubel Herrera
32869,Ben Rowen
32871,Preston Beck
32873,Ryan Court
32874,Steve Selsky
32888,Yimi Garcia
32890,Travis Shaw
32892,Jason Gurka
32900,Chris Taylor
32903,Chris Martin
32908,Darnell Sweeney
32911,Lane Adams
32914,Bijan Rademacher
32918,Ali Jesus Castillo
32928,Chuck Fredrick Moorman
32930,Stephen Perakslis
32933,Mallex Smith
32949,Mike Morin
32950,Gregory Polanco
32952,Joey Rickard
32956,Alex Dickerson
32961,Austin Nola
32967,Jeff Arnold
32968,Merrill Kelly
32972,Noe Ramirez
32973,Brandon Workman
32976,Jake Hager
32979,Zach Borenstein
32980,Matt Reynolds
32981,Wynton Bernard
32985,Ildemaro Vargas
32986,Jairo Diaz
32987,Yasiel Balaguert
32995,Emilio Guerrero
33002,Andrew Robinson
33005,Aaron Barrett
33012,Kennys Vargas
33014,Chasen Shreve
33017,Joey Wendle
33018,Erik Gonzalez
33019,Juan Graterol
33026,Michael Ohlman
33038,Mike Miller
33039,Mookie Betts
33044,Patrick Cantwell
33047,Malcom Culver
33057,Jerad Eickhoff
33065,Tomas Telis
33066,Preston Tucker
33071,Robby Scott
33072,Ryan Pressly
33083,Burch Smith
33089,Luis Garcia
33091,Dilson Herrera
33095,Jose Abreu
33097,Eddie Gamboa
33100,Jayson Aquino
33103,Rosell Herrera
33104,Joely Rodriguez
33105,Casey Sadler
33106,Steven Matz
33107,Jose Urena
33108,Jesse Hahn
33112,Kevin Shackelford
33113,Brooks Hall
33119,Cristian Jimenez
33121,Drew VerHagen
33122,Stuart Turner
33123,Scott Alexander
33124,Aaron Brooks
33130,Adam Kolarek
